文字,文字.1,Unicode,Unicode(Dec),原始CID,字圖名称,目標CID,字圖名称.1,No.,Unnamed: 9
晧,晧,6667,26215,20414,uni6667-JP,62367,uni6667uE0101-JP,,
晭,晭,666D,26221,20424,uni666D-JP,20425,uni666D-CN,,
晴,晴,6674,26228,58877,uniFA12-JP,20436,uni6674-CN,,
暀,暀,6680,26240,20455,uni6680-JP,20456,uni6680-CN,,
暑,暑,6691,26257,58931,uniFA43-JP,20484,uni6691-CN,,
暖,暖,6696,26262,62372,uni6696uE0101-JP,20489,uni6696-CN,,
暗,暗,6697,26263,62373,uni6697uE0101-JP,20490,uni6697-JP,,
暼,暼,66BC,26300,20553,uni66BC-JP,20554,uni66BC-CN,,
曙,曙,66D9,26329,62376,uni66D9uE0101-JP,20602,uni66D9-CN,,
曼,曼,66FC,26364,62382,uni66FCuE0101-JP,20666,uni66FC-CN,,
曾,曾,66FE,26366,20669,uni66FE-JP,20670,uni66FE-CN,,
月,月,6708,26376,62384,uni6708uE0101-JP,20694,uni6708-CN,,
有,有,6709,26377,62385,uni6709uE0101-JP,20695,uni6709-CN,,
朋,朋,670B,26379,62386,uni670BuE0101-JP,20698,uni670B-CN,,
服,服,670D,26381,62387,uni670DuE0101-JP,20700,uni670D-CN,,
朕,朕,6715,26389,62389,uni6715uE0102-JP,20713,uni6715-CN,,
朗,朗,6717,26391,62390,uni6717uE0102-JP,20717,uni6717-JP,,
朝,朝,671D,26397,62394,uni671DuE0101-JP,20732,uni671D-JP,,
朞,朞,671E,26398,20733,uni671E-JP,20734,uni671E-CN,,
期,期,671F,26399,62395,uni671FuE0101-JP,20735,uni671F-CN,,
朢,朢,6722,26402,20741,uni6722-JP,20742,uni6722-CN,,
杓,杓,6753,26451,20816,uni6753-JP,61940,uni6753-JP90-JP,,
条,条,6761,26465,62396,uni6761uE0101-JP,20834,uni6761-JP,,
枰,枰,67B0,26544,20949,uni67B0-JP,20950,uni67B0-CN,,
柈,柈,67C8,26568,20987,uni67C8-JP,20988,uni67C8-CN,,
柊,柊,67CA,26570,62401,uni67CAuE0101-JP,20991,uni67CA-JP,,
柟,柟,67DF,26591,21022,uni67DF-JP,21023,uni67DF-CN,,
柱,柱,67F1,26609,62404,uni67F1uE0101-JP,21051,uni67F1-JP,,
栔,栔,6814,26644,21101,uni6814-JP,21104,uni6814-HK,,
栟,栟,681F,26655,61834,u2F8E5-JP,21121,uni681F-JP,,
栩,栩,6829,26665,21137,uni6829-JP,21138,uni6829-CN,,
桯,桯,686F,26735,21246,uni686F-JP,21248,uni686F-CN,,
梏,梏,688F,26767,21299,uni688F-JP,21300,uni688F-CN,,
梛,梛,689B,26779,62414,uni689BuE0101-JP,21318,uni689B-JP,,
梢,梢,68A2,26786,62416,uni68A2uE0101-JP,21332,uni68A2-CN,,
棈,棈,68C8,26824,21399,uni68C8-JP,62417,uni68C8uE0101-JP,,
棌,棌,68CC,26828,21406,uni68CC-JP,21407,uni68CC-CN,,
棚,棚,68DA,26842,62418,uni68DAuE0101-JP,21435,uni68DA-CN,,
椆,椆,6906,26886,21522,uni6906-JP,21523,uni6906-CN,,
楂,楂,6942,26946,21625,uni6942-JP,21626,uni6942-CN,,
楞,楞,695E,26974,62423,uni695EuE0101-JP,21671,uni695E-JP,,
楢,楢,6962,26978,21680,uni6962-JP,61943,uni6962-JP90-JP,,
榊,榊,698A,27018,21753,uni698A-JP,61945,uni698A-JP90-JP,,
榍,榍,698D,27021,21757,uni698D-JP,21758,uni698D-CN,,
榔,榔,6994,27028,21769,uni6994-JP,61946,uni6994-JP90-JP,,
榘,榘,6998,27032,21777,uni6998-JP,21778,uni6998-CN,,
榻,榻,69BB,27067,62429,uni69BBuE0101-JP,21844,uni69BB-CN,,
構,構,69CB,27083,62431,uni69CBuE0101-JP,21878,uni69CB-JP,,
槏,槏,69CF,27087,21887,uni69CF-JP,21888,uni69CF-CN,,
樽,樽,6A3D,27197,22080,uni6A3D-JP,61949,uni6A3D-JP90-JP,,
橧,橧,6A67,27239,22160,uni6A67-JP,22161,uni6A67-CN,,
櫛,櫛,6ADB,27355,22362,uni6ADB-JP,61950,uni6ADB-JP90-JP,,
櫝,櫝,6ADD,27357,22368,uni6ADD-JP,22369,uni6ADD-CN,,
櫤,櫤,6AE4,27364,22381,uni6AE4-JP,22382,uni6AE4-CN,,
欝,欝,6B1D,27421,62442,uni6B1DuE0101-JP,22486,uni6B1D-JP,,
殍,殍,6B8D,27533,22698,uni6B8D-JP,22700,uni6B8D-TW,,
殰,殰,6BB0,27568,22772,uni6BB0-JP,22774,uni6BB0-TW,,
氅,氅,6C05,27653,22930,uni6C05-JP,22931,uni6C05-CN,,
氓,氓,6C13,27667,22956,uni6C13-JP,22957,uni6C13-KR,,
汋,汋,6C4B,27723,23040,uni6C4B-JP,23041,uni6C4B-CN,,
汒,汒,6C52,27730,23052,uni6C52-JP,23053,uni6C52-KR,,
汧,汧,6C67,27751,23082,uni6C67-JP,23083,uni6C67-CN,,
沪,沪,6CAA,27818,62452,uni6CAAuE0101-JP,62452,uni6CAAuE0101-JP,,
泙,泙,6CD9,27865,23253,uni6CD9-JP,23254,uni6CD9-CN,,
泮,泮,6CEE,27886,23290,uni6CEE-JP,23291,uni6CEE-CN,,
洴,洴,6D34,27956,23390,uni6D34-JP,23391,uni6D34-CN,,
浅,浅,6D45,27973,23415,uni6D45-JP,23416,uni6D45-CN,,
浩,浩,6D69,28009,61837,u2F903-JP,23464,uni6D69-CN,,
浮,浮,6D6E,28014,62459,uni6D6EuE0101-JP,23471,uni6D6E-JP,,
消,消,6D88,28040,62461,uni6D88uE0101-JP,23509,uni6D88-CN,,
淌,淌,6DCC,28108,23619,uni6DCC-JP,23620,uni6DCC-CN,,
注,注,6CE8,27880,62456,uni6CE8uE0101-JP,23280,uni6CE8-JP,,
淫,淫,6DEB,28139,23682,uni6DEB-JP,61953,uni6DEB-JP90-JP,,
渚,渚,6E1A,28186,58934,uniFA46-JP,23757,uni6E1A-CN,,
渠,渠,6E20,28192,23769,uni6E20-HK,23767,uni6E20-JP,,
渣,渣,6E23,28195,23774,uni6E23-JP,62466,uni6E23uE0102-JP,,
湔,湔,6E54,28244,23859,uni6E54-JP,23860,uni6E54-CN,,
湮,湮,6E6E,28270,62468,uni6E6EuE0101-JP,23903,uni6E6E-CN,,
湲,湲,6E72,28274,23910,uni6E72-JP,62469,uni6E72uE0101-JP,,
溓,溓,6E93,28307,23954,uni6E93-JP,23955,uni6E93-CN,,
溝,溝,6E9D,28317,62471,uni6E9DuE0101-JP,23973,uni6E9D-JP,,
溢,溢,6EA2,28322,23982,uni6EA2-JP,61954,uni6EA2-JP90-JP,,
溺,溺,6EBA,28346,24026,uni6EBA-JP,61955,uni6EBA-JP90-JP,,
溻,溻,6EBB,28347,24029,uni6EBB-JP,24030,uni6EBB-CN,,
溿,溿,6EBF,28351,24039,uni6EBF-JP,24040,uni6EBF-CN,,
滔,滔,6ED4,28372,24086,uni6ED4-JP,24087,uni6ED4-CN,,
滞,滞,6EDE,28382,24105,uni6EDE-JP,24106,uni6EDE-CN,,
滾,滾,6EFE,28414,62477,uni6EFEuE0101-JP,24162,uni6EFE-JP,,
漫,漫,6F2B,28459,24246,uni6F2B-TW,24245,uni6F2B-CN,,
漰,漰,6F30,28464,24254,uni6F30-JP,24255,uni6F30-CN,,
潔,潔,6F54,28500,62482,uni6F54uE0101-JP,24314,uni6F54-KR,,
潮,潮,6F6E,28526,61839,u2F90F-JP,24362,uni6F6E-CN,,
潴,潴,6F74,28532,24371,uni6F74-JP,62486,uni6F74uE0101-JP,,
澔,澔,6F94,28564,24428,uni6F94-JP,24429,uni6F94-CN,,
瀆,瀆,7006,28678,24633,uni7006-JP,24634,uni7006-CN,,
瀛,瀛,701B,28699,24678,uni701B-JP,24679,uni701B-KR,,
瀞,瀞,701E,28702,24687,uni701E-JP,24688,uni701E-HK,,
瀦,瀦,7026,28710,24705,uni7026-JP,61959,uni7026-JP90-JP,,
灼,灼,707C,28796,24865,uni707C-JP,61962,uni707C-JP90-JP,,
焅,焅,7105,28933,25122,uni7105-JP,25123,uni7105-CN,,
焇,焇,7107,28935,25128,uni7107-JP,25129,uni7107-CN,,
煎,煎,714E,29006,25263,uni714E-JP,61964,uni714E-JP90-JP,,
煖,煖,7156,29014,25279,uni7156-JP,25280,uni7156-CN,,
煙,煙,7159,29017,62494,uni7159uE0101-JP,25286,uni7159-CN,,
煚,煚,715A,29018,25288,uni715A-JP,25289,uni715A-CN,,
煮,煮,716E,29038,58936,uniFA48-JP,25333,uni716E-CN,,
爫,爫,722B,29227,25738,uni722B-JP,58937,uniFA49-JP,,
爯,爯,722F,29231,25745,uni722F-JP,25746,uni722F-CN,,
爰,爰,7230,29232,25747,uni7230-JP,25748,uni7230-CN,,
爵,爵,7235,29237,62501,uni7235uE0102-JP,25754,uni7235-JP,,
牘,牘,7258,29272,25819,uni7258-JP,25820,uni7258-CN,,
牿,牿,727F,29311,25884,uni727F-JP,25885,uni727F-CN,,
犢,犢,72A2,29346,25935,uni72A2-JP,25936,uni72A2-CN,,
猜,猜,731C,29468,26117,uni731C-JP,62505,uni731CuE0101-JP,,
猨,猨,7328,29480,26141,uni7328-JP,26142,uni7328-CN,,
猪,猪,732A,29482,58881,uniFA16-JP,26144,uni732A-CN,,
猶,猶,7336,29494,62507,uni7336uE0102-JP,26166,uni7336-JP,,
猷,猷,7337,29495,26168,uni7337-JP,61971,uni7337-JP90-JP,,
獘,獘,7358,29528,26228,uni7358-JP,26229,uni7358-CN,,
率,率,7387,29575,62509,uni7387uE0101-JP,26317,uni7387-JP,,
玓,玓,7393,29587,26332,uni7393-JP,26333,uni7393-CN,,
珎,珎,73CE,29646,26413,uni73CE-JP,62511,uni73CEuE0101-JP,,
珝,珝,73DD,29661,26430,uni73DD-JP,26431,uni73DD-CN,,
珵,珵,73F5,29685,26465,uni73F5-JP,26467,uni73F5-CN,,
琑,琑,7411,29713,26510,uni7411-JP,26511,uni7411-CN,,
琤,琤,7424,29732,26535,uni7424-JP,26537,uni7424-TW,,
琱,琱,7431,29745,26564,uni7431-JP,26565,uni7431-CN,,
瑗,瑗,7457,29783,26627,uni7457-JP,26628,uni7457-CN,,
瑣,瑣,7463,29795,26648,uni7463-JP,26649,uni7463-CN,,
甄,甄,7504,29956,62524,uni7504uE0101-JP,26977,uni7504-JP,,
甿,甿,753F,30015,27084,uni753F-JP,27085,uni753F-KR,346,
畃,畃,7543,30019,27091,uni7543-JP,27092,uni7543-CN,,
畔,畔,7554,30036,62530,uni7554uE0101-JP,27117,uni7554-JP,,
疼,疼,75BC,30140,27287,uni75BC-JP,61975,uni75BC-JP90-JP,,
瘈,瘈,7608,30216,62533,uni7608uE0101-JP,27441,uni7608-JP,,
癒,癒,7652,30290,62535,uni7652uE0101-JP,27604,uni7652-JP,,
癤,癤,7664,30308,27642,uni7664-KR,62536,uni7664uE0101-JP,,
