標準,Unicode,Unicode(Dec),IVS,目標CID,字圖名称,被修改或替換的字圖名称,IVD集,默認字圖,註釋
瞇,7787,30599,E0100,28104,uni7787-CL,uni7787-TW,Hanyo-Denshi,All,
瞋,778B,30603,E0102,28112,uni778B-M,uni778B-CN,Hanyo-Denshi,M,
瞎,778E,30606,E0102,28122,uni778EuE0102-JP,uni778E-CN,Hanyo-Denshi,IVS,
瞎,778E,30606,E01EA,28123,uni778E-CM,uni778E-TW,PUA,CM,
瞓,7793,30611,/,28130,uni7793-CL,uni7793-CN,/,All,
瞳,77B3,30643,E0102,28182,uni77BEuE0102-JP,uni77B3-CN,Hanyo-Denshi,IVS,
矇,77C7,30663,E0102,28217,uni77C7uE0102-JP,uni77C7-CN,Hanyo-Denshi,IVS,
矇,77C7,30663,E0103,28218,uni77C7uE0103-JP,uni77C7-TW,Hanyo-Denshi,IVS,
矓,77D3,30675,E01EA,28238,uni77D3-CL,uni77D3-CN,PUA,All,
矓,77D3,30675,E01EB,28239,uni77D3-V-CL,uni77D3-TW,PUA,IVS,
矿,77FF,30719,/,28316,uni77FF-CN,uni77FF-CN,/,All,
码,7801,30721,/,28318,uni7801-CN,uni7801-CN,/,All,
砸,7838,30776,/,28401,uni7838-CL,uni7838-CN,/,All,
础,7840,30784,/,28412,uni7840-CN,uni7840-CN,/,All,
硫,786B,30827,E0102,28464,uni786BuE0102-JP,uni786B-CN,Hanyo-Denshi,IVS,
硴,7874,30836,E0102,28478,uni7874uE0102-JP,uni7874-CN,Hanyo-Denshi,All,
硿,787F,30847,E01EA,28494,uni787F-CL,uni787F-CN,PUA,All,
硿,787F,30847,E01EB,28495,uni787F-KX,uni787F-TW,PUA,IVS,
碃,7883,30851,E0100,28501,uni7883-CL,uni7883-TW,Hanyo-Denshi,CL,
碉,7889,30857,E01EA,28510,uni7889-CL,uni7889-TW,PUA,CL,
碌,788C,30860,E0102,28515,uni788CuE0102-JP,uni788C-CN,Hanyo-Denshi,CM,
碣,78A3,30883,E0102,28550,uni78A3uE0102-JP,uni78A3-CN,Hanyo-Denshi,IVS,
碳,78B3,30899,E01EA,28577,uni78B3-CL,uni78B3-TW,PUA,All,
確,78BA,30906,E0102,28589,uni78BAuE0102-JP,uni78BA-CN,Hanyo-Denshi,IVS,
磁,78C1,30913,E0102,28600,uni78C1uE0102-JP,uni78C1-CN,Hanyo-Denshi,IVS,
磅,78C5,30917,E0102,28606,uni78C5uE0102-JP,uni78C5-CN,Hanyo-Denshi,IVS,
磌,78CC,30924,E0102,28621,uni78CC-M,uni78CC-CN,Hanyo-Denshi,M,
磚,78DA,30938,E01EA,28649,uni78DA-CM,uni78D7-HK,PUA,CM,
磯,78EF,30959,E0104,28689,uni78EFuE0104-JP,uni78EF-CN,Hanyo-Denshi,IVS,
礦,7926,31014,E0102,28778,uni7926-CM,uni7926-CN,Hanyo-Denshi,CM,
礪,792A,31018,E0103,28786,uni792AuE0103-JP,uni792A-TW,Hanyo-Denshi,IVS,
礽,793D,31037,E0102,28823,uni793DuE0102-JP,uni793D-CN,Hanyo-Denshi,M,
礿,793F,31039,E0103,28827,uni793FuE0103-JP,uni793F-CN,Hanyo-Denshi,M,
祀,7940,31040,E0103,28829,uni7940uE0103-JP,uni7940-CN,Hanyo-Denshi,IVS,
祀,7940,31040,E0104,28831,uni7940uE0104-JP,uni7941-CN,Hanyo-Denshi,IVS,
祀,7940,31040,E0106,28834,uni7940uE0106-JP,uni7942-TW,Hanyo-Denshi,IVS,
祂,7942,31042,E01EA,28833,uni7942-M,uni7942-CN,PUA,M,
祅,7945,31045,E0102,28839,uni7945uE0102-JP,uni7945-CN,Hanyo-Denshi,M,
祆,7946,31046,E0102,28841,uni7946-M,uni7946-CN,Hanyo-Denshi,"M,CM",
祓,7953,31059,E0104,28863,uni7953-M,uni7953-CN,Hanyo-Denshi,M,
祕,7955,31061,E0102,28868,uni7955-M,uni7955-CN,Hanyo-Denshi,M,
祗,7957,31063,E0102,28872,uni7957-M,uni7957-CN,Hanyo-Denshi,"M,CM",
祚,795A,31066,E0102,28878,uni795A-M,uni795A-CN,Hanyo-Denshi,"M,CM",
祛,795B,31067,E0102,28880,uni795B-M,uni795B-CN,Hanyo-Denshi,M,
祜,795C,31068,E0102,28882,uni795C-M,uni795C-CN,Hanyo-Denshi,M,
祠,7960,31072,E0102,28890,uni7960-M,uni7960-CN,Hanyo-Denshi,"M,CM",
祧,7967,31079,E0102,28903,uni7967uE0102-JP,uni7967-CN,Hanyo-Denshi,M,
祯,796F,31087,/,28916,uni796F-CN,uni796F-CN,/,All,
祸,7978,31096,/,28930,uni7978-CN,uni7978-CN,/,All,
祺,797A,31098,E0102,28934,uni797A-M,uni797A-CN,Hanyo-Denshi,"M,CM",
祼,797C,31100,E0102,28938,uni797CuE0102-JP,uni797C-CN,Hanyo-Denshi,M,
祿,797F,31103,E0102,28944,uni797F-M,uni797F-CN,Hanyo-Denshi,M,
禄,7984,31108,E0103,28956,uni7984-CL,uni7984-CN,Hanyo-Denshi,CL,
禅,7985,31109,E0102,28958,uni7985-CN,uni7985-CN,Hanyo-Denshi,M,
禊,798A,31114,E0103,28964,uni798AuE0103-JP,uni798A-CN,Hanyo-Denshi,"CL,CM",
禊,798A,31114,E0104,28965,uni798A-M,uni798A-TW,Hanyo-Denshi,M,
禛,799B,31131,E0102,29000,uni799BuE0102-JP,uni799B-CN,Hanyo-Denshi,M,
禪,79AA,31146,E0102,29032,uni79AA-M,uni79AA-CN,Hanyo-Denshi,"M,CM",
禳,79B3,31155,E0102,29051,uni79B3uE0102-JP,uni79B3-CN,Hanyo-Denshi,M,
离,79BB,31163,E0102,29066,uni79BBuE0102-JP,uni79BB-CN,Hanyo-Denshi,IVS,
禽,79BD,31165,E0102,29070,uni79BDuE0102-JP,uni79BD-CN,Hanyo-Denshi,IVS,
秽,79FD,31229,/,29170,uni79FD-CN,uni79FD-CN,/,All,
稅,7A05,31237,E0102,29184,uni7A05uE0102-JP,uni7A05-CN,Hanyo-Denshi,IVS,
稜,7A1C,31260,E0102,29226,uni7A1CuE0102-JP,uni7A1C-CN,Hanyo-Denshi,IVS,
稻,7A3B,31291,E0102,29286,uni7A3BuE0102-JP,uni7A3B-CN,Hanyo-Denshi,M,
稼,7A3C,31292,E0102,29288,uni7A3CuE0102-JP,uni7A3C-CN,Hanyo-Denshi,IVS,
稿,7A3F,31295,E0102,29294,uni7A3FuE0102-JP,uni7A3F-CN,Hanyo-Denshi,IVS,
穋,7A4B,31307,E0100,29313,uni7A4B-JP,uni7A48-TW,Moji-Joho,"CL,CM",
穋,7A4B,31307,E0101,29318,uni7A4BuE0101-JP,uni7A4B-CN,Moji-Joho,IVS,
穋,7A4B,31307,E01EA,29319,uni7A4B-M,uni7A4B-TW,PUA,M,
穏,7A4F,31311,E01EA,29323,uni7A4F-CM,uni7A4E-TW,PUA,"CL,CM",
穗,7A57,31319,E0102,29336,uni7A57uE0102-JP,uni7A56-TW,Hanyo-Denshi,IVS,
穫,7A6B,31339,E0102,29372,uni7A6BuE0102-JP,uni7A6B-CN,Hanyo-Denshi,IVS,
穷,7A77,31351,/,29397,uni7A77-CN,uni7A77-CN,/,All,
穿,7A7F,31359,E0104,29418,uni7A7FuE0104-JP,uni7A7F-CN,Moji-Joho,IVS,
窍,7A8D,31373,/,29455,uni7A8D-CM,uni7A8D-CN,/,All,
窜,7A9C,31388,/,29494,uni7A9C-CN,uni7A9C-CN,/,All,
窝,7A9D,31389,/,29495,uni7A9D-CN,uni7A9D-CN,/,All,
窥,7AA5,31397,/,29512,uni7AA5-CN,uni7AA5-CN,/,All,
窿,7ABF,31423,E0102,29580,uni7ABFuE0102-JP,uni7ABF-CN,Hanyo-Denshi,IVS,
竖,7AD6,31446,/,29634,uni7AD6-CN,uni7AD6-CN,/,All,
竞,7ADE,31454,/,29650,uni7ADE-CN,uni7ADE-CN,/,All,
竟,7ADF,31455,E0102,29652,uni7ADFuE0102-JP,uni7ADF-CN,Hanyo-Denshi,IVS,
章,7AE0,31456,E0102,29654,uni7AE0uE0102-JP,uni7AE0-CN,Hanyo-Denshi,IVS,
竣,7AE3,31459,E0102,29661,uni7AE3uE0102-JP,uni7AE3-CN,Hanyo-Denshi,IVS,
童,7AE5,31461,E0102,29666,uni7AE5uE0102-JP,uni7AE5-CN,Hanyo-Denshi,IVS,
竭,7AED,31469,E0102,29683,uni7AEDuE0102-JP,uni7AED-CN,Hanyo-Denshi,IVS,
筑,7B51,31569,E0104,29878,uni7B51uE0104-JP,uni7B51-TW,Hanyo-Denshi,IVS,
筑,7B51,31569,E0105,29879,uni7B51uE0105-MO,uni7B51-HK,MSARG,IVS,
筵,7B75,31605,E0102,29948,uni7B75uE0102-JP,uni7B75-CN,Hanyo-Denshi,IVS,
签,7B7E,31614,/,29964,uni7B7E-CN,uni7B7E-CN,/,All,
箩,7BA9,31657,/,30052,uni7BA9-CN,uni7BA9-CN,/,All,
節,7BC0,31680,E0106,30097,uni7BC0uE0106-JP,uni7BC0-CN,Hanyo-Denshi,IVS,
篆,7BC6,31686,E0102,30108,uni7BC6uE0102-JP,uni7BC6-CN,Hanyo-Denshi,IVS,
篆,7BC6,31686,E01EA,30109,uni7BC6-CM,uni7BC6-TW,PUA,CM,
篓,7BD3,31699,/,30138,uni7BD3-CM,uni7BD3-CN,/,All,
篛,7BDB,31707,E01EA,30154,uni7BDB-M,uni7BDB-CN,PUA,M,
篙,7BD9,31705,E0102,30148,uni7BD9uE0102-JP,uni7BD9-CN,Hanyo-Denshi,IVS,
篮,7BEE,31726,/,30199,uni7BEE-CN,uni7BEE-CN,/,All,
篱,7BF1,31729,/,30204,uni7BF1-CN,uni7BF1-CN,/,All,
篷,7BF7,31735,E0102,30218,uni7BF7uE0102-JP,uni7BF7-CN,Moji-Joho,IVS,
篷,7BF7,31735,E0103,30219,uni7BF7uE0103-JP,uni7BF7-TW,Moji-Joho,IVS,
篾,7BFE,31742,E0102,30235,uni7BFEuE0102-JP,uni7BFE-TW,Hanyo-Denshi,IVS,
簪,7C2A,31786,E0102,30333,uni7C2AuE0102-JP,uni7C2A-CN,Hanyo-Denshi,IVS,
簪,7C2A,31786,E0103,30334,uni7C2AuE0103-JP,uni7C2A-TW,Hanyo-Denshi,All,
簽,7C3D,31805,E01EA,30372,uni7C3D-CM,uni7C3D-TW,PUA,CM,
籟,7C5F,31839,E0102,30453,uni7C5F-CM,uni7C5F-TW,Hanyo-Denshi,CM,
籠,7C60,31840,E0104,30457,uni7C60uE0104-JP,uni7C60-HK,Hanyo-Denshi,IVS,
籬,7C6C,31852,E0102,30483,uni7C6CuE0102-JP,uni7C6C-CN,Hanyo-Denshi,IVS,
类,7C7B,31867,E0101,30519,uni7C7BuE0101-JP,uni7C7B-CN,Hanyo-Denshi,M,
粤,7CA4,31908,E0102,30601,uni7CA4uE0102-JP,uni7CA4-CN,Hanyo-Denshi,IVS,
粵,7CB5,31925,E01EA,30634,uni7CB5-CL,uni7CB5-CN,PUA,All,
粵,7CB5,31925,E01EB,30635,uni7CB5-V-CL,uni7CB5-HK,PUA,IVS,
糙,7CD9,31961,E0102,30719,uni7CD9uE0102-JP,uni7CD9-CN,Hanyo-Denshi,IVS,
糙,7CD9,31961,E01EB,30720,uni7CD9-V,uni7CD9-TW,PUA,IVS,
糜,7CDC,31964,E0102,30726,uni7CDC-CM,uni7CDC-CN,Hanyo-Denshi,CM,
糢,7CE2,31970,E0102,30743,uni7CE2uE0102-JP,uni7CE2-TW,Hanyo-Denshi,IVS,
糨,7CE8,31976,E01EA,30751,uni7CE8-CL,uni7CE8-CN,PUA,"CL,CM",
糨,7CE8,31976,E01EB,30752,uni7CE8-V-CL,uni7CE8-TW,PUA,M,
糹,7CF9,31993,/,30793,uni7CF9-CL,uni7CF9-CN,/,All,
系,7CFB,31995,E0102,30797,uni7CFBuE0102-JP,uni7CFB-CN,Hanyo-Denshi,IVS,
糾,7CFE,31998,E0102,30802,uni7CFEuE0102-JP,uni7CFE-CN,Hanyo-Denshi,IVS,
紀,7D00,32000,E0102,30805,uni7D00uE0102-JP,uni7D00-CN,Hanyo-Denshi,IVS,
紈,7D08,32008,E0101,30821,uni7D08uE0101-JP,uni7D08-CN,Moji-Joho,IVS,
紧,7D27,32039,/,30887,uni7D27-CN,uni7D27-CN,/,All,
絝,7D5D,32093,E0102,30994,uni7D5DuE0102,uni7D5D-CN,Hanyo-Denshi,IVS,
絨,7D68,32104,E01EA,31014,uni7D68-CL,uni7D68-CN,PUA,All,
統,7D71,32113,E0102,31029,uni7D71uE0102-JP,uni7D71-CN,Hanyo-Denshi,IVS,
綁,7D81,32129,E0102,31062,uni7D81uE0102-JP,uni7D81-CN,Hanyo-Denshi,CL,
綃,7D83,32131,E0102,31067,uni7D83uE0102-JP,uni7D83-CN,Hanyo-Denshi,M,
綏,7D8F,32143,E0102,31091,uni7D8F-CM,uni7D8F-CN,Hanyo-Denshi,"M,CM",
經,7D93,32147,E0102,31098,uni7D93uE0102-JP,uni7D93-CN,Hanyo-Denshi,IVS,
綠,7DA0,32160,E0102,31128,uni7DA0uE0102-JP,uni7DA0-CN,Moji-Joho,IVS,
綪,7DAA,32170,E0102,31150,uni7DAA-M,uni7DAA-CN,Hanyo-Denshi,M,
綳,7DB3,32179,E0102,31171,uni7DB3-M,uni7DB3-CN,Hanyo-Denshi,M,
綵,7DB5,32181,E0102,31175,uni7DB5-CM,uni7DB5-CN,Hanyo-Denshi,"M,CM",
綾,7DBE,32190,E0102,31193,uni7DBEuE0102-JP,uni7DBE-CN,Hanyo-Denshi,IVS,
締,7DE0,32224,E0102,31269,uni7DE0uE0102-JP,uni7DE0-CN,Hanyo-Denshi,IVS,
緣,7DE3,32227,E0102,31275,uni7DE3uE0102-JP,uni7DE3-CN,Moji-Joho,IVS,
緼,7DFC,32252,/,31331,uni7DFC-CL,uni7DFC-CN,/,All,
緾,7DFE,32254,/,31333,uni7DFE-CL,uni7DFE-CN,/,All,
縁,7E01,32257,E0102,31338,uni7E01uE0102-JP,uni7E01-CN,Hanyo-Denshi,IVS,
縂,7E02,32258,E0100,31339,uni7E02-CL,uni7E02-CN,Hanyo-Denshi,All,
縊,7E0A,32266,E0102,31355,uni7E0A-M,uni7E0A-CN,Hanyo-Denshi,"M,CM",
縑,7E11,32273,E01EA,31370,uni7E11-M,uni7E11-CN,PUA,M,
縝,7E1D,32285,E0102,31394,uni7E1D-M,uni7E1D-CN,Hanyo-Denshi,M,
縞,7E1E,32286,E0102,31397,uni7E1EuE0102-JP,uni7E1E-CN,Hanyo-Denshi,IVS,
縣,7E23,32291,E0102,31408,uni7E23uE0102-JP,uni7E23-CN,Hanyo-Denshi,IVS,
縴,7E34,32308,/,31445,uni7E34-CL,uni7E34-CN,/,All,
總,7E3D,32317,E0102,31468,uni7E3DuE0102-JP,uni7E3D-CN,Hanyo-Denshi,IVS,
繆,7E46,32326,E0102,31487,uni7E46-M,uni7E46-CN,Hanyo-Denshi,"M,CM",
繒,7E52,32338,E0102,31513,uni7E52uE0102-JP,uni7E52-CN,Hanyo-Denshi,IVS,
繒,7E52,32338,E01EA,31514,uni7E52-M,uni7E52-HK,PUA,M,
織,7E54,32340,E0102,31518,uni7E54uE0102-JP,uni7E54-CN,Hanyo-Denshi,IVS,
繞,7E5E,32350,E01EA,31544,uni7E5E-CM,uni7E5E-CN,PUA,CM,
繪,7E6A,32362,E0102,31569,uni7E6AuE0102-JP,uni7E6A-CN,Hanyo-Denshi,IVS,
繭,7E6D,32365,E0103,31575,uni7E6DuE0102-JP,uni7E6D-CN,Hanyo-Denshi,IVS,
繹,7E79,32377,E0102,31600,uni7E79uE0102-JP,uni7E79-CN,Hanyo-Denshi,IVS,
繼,7E7C,32380,E0102,31607,uni7E7CuE0102-JP,uni7E7C-CN,Hanyo-Denshi,IVS,
纟,7E9F,32415,/,31690,uni7E9F-CN,uni7E9F-CN,/,All,
纠,7EA0,32416,/,31691,uni7EA0-CN,uni7EA0-CN,/,All,
红,7EA2,32418,E0100,31693,uni7EA2-CN,uni7EA2-CN,Hanyo-Denshi,All,
纣,7EA3,32419,/,31694,uni7EA3-CN,uni7EA3-CN,/,All,
纤,7EA4,32420,/,31695,uni7EA4-CN,uni7EA4-CN,/,All,
约,7EA6,32422,/,31697,uni7EA6-CN,uni7EA6-CN,/,All,
级,7EA7,32423,/,31698,uni7EA7-CN,uni7EA7-CN,/,All,
纪,7EAA,32426,/,31701,uni7EAA-CN,uni7EAA-CN,/,All,
纫,7EAB,32427,/,31702,uni7EAB-CN,uni7EAB-CN,/,All,
纬,7EAC,32428,/,31703,uni7EAC-CN,uni7EAC-CN,/,All,
纯,7EAF,32431,/,31706,uni7EAF-CN,uni7EAF-CN,/,All,
纱,7EB1,32433,/,31708,uni7EB1-CN,uni7EB1-CN,/,All,
纲,7EB2,32434,/,31709,uni7EB2-CN,uni7EB2-CN,/,All,
纳,7EB3,32435,/,31710,uni7EB3-CN,uni7EB3-CN,/,All,
纵,7EB5,32437,/,31712,uni7EB5-CN,uni7EB5-CN,/,All,
纷,7EB7,32439,/,31714,uni7EB7-CN,uni7EB7-CN,/,All,
纸,7EB8,32440,/,31715,uni7EB8-CN,uni7EB8-CN,/,All,
纹,7EB9,32441,/,31716,uni7EB9-CN,uni7EB9-CN,/,All,
纺,7EBA,32442,/,31717,uni7EBA-CN,uni7EBA-CN,/,All,
纽,7EBD,32445,/,31720,uni7EBD-CN,uni7EBD-CN,/,All,
线,7EBF,32447,E01EA,31151,uni7EBF-CL-CN,uni7DAA-TW,PUA,"CL,CM",
线,7EBF,32447,E01EB,31722,uni7EBF-CN,uni7EBF-CN,PUA,M,
练,7EC3,32451,/,31726,uni7EC3-CN,uni7EC3-CN,/,All,
组,7EC4,32452,/,31727,uni7EC4-CN,uni7EC4-CN,/,All,
绅,7EC5,32453,/,31728,uni7EC5-CN,uni7EC5-CN,/,All,
细,7EC6,32454,/,31729,uni7EC6-CN,uni7EC6-CN,/,All,
织,7EC7,32455,/,31730,uni7EC7-CN,uni7EC7-CN,/,All,
终,7EC8,32456,/,31731,uni7EC8-CN,uni7EC8-CN,/,All,
绊,7ECA,32458,/,31733,uni7ECA-CN,uni7ECA-CN,/,All,
绍,7ECD,32461,/,31736,uni7ECD-CN,uni7ECD-CN,/,All,
绎,7ECE,32462,/,31737,uni7ECE-CN,uni7ECE-CN,/,All,
经,7ECF,32463,E01EA,30957,uni7ECF-CL-CN,uni7D4C-CN,PUA,"CL,CM",
经,7ECF,32463,E01EB,31738,uni7ECF-CN,uni7ECF-CN,PUA,M,
绑,7ED1,32465,/,31740,uni7ED1-CN,uni7ED1-CN,/,All,
绒,7ED2,32466,/,31741,uni7ED2-CN,uni7ED2-CN,/,All,
结,7ED3,32467,/,31742,uni7ED3-CN,uni7ED3-CN,/,All,
绕,7ED5,32469,/,31744,uni7ED5-CN,uni7ED5-CN,/,All,
绘,7ED8,32472,/,31747,uni7ED8-CN,uni7ED8-CN,/,All,
给,7ED9,32473,/,31748,uni7ED9-CN,uni7ED9-CN,/,All,
绚,7EDA,32474,/,31749,uni7EDA-CN,uni7EDA-CN,/,All,
络,7EDC,32476,/,31751,uni7EDC-CN,uni7EDC-CN,/,All,
绝,7EDD,32477,/,31752,uni7EDD-CN,uni7EDD-CN,/,All,
绞,7EDE,32478,/,31753,uni7EDE-CN,uni7EDE-CN,/,All,
统,7EDF,32479,/,31754,uni7EDF-CN,uni7EDF-CN,/,All,
绢,7EE2,32482,/,31757,uni7EE2-CN,uni7EE2-CN,/,All,
绣,7EE3,32483,/,31758,uni7EE3-CN,uni7EE3-CN,/,All,
继,7EE7,32487,/,31762,uni7EE7-CN,uni7EE7-CN,/,All,
绩,7EE9,32489,/,31764,uni7EE9-CN,uni7EE9-CN,/,All,
绪,7EEA,32490,/,31765,uni7EEA-CN,uni7EEA-CN,/,All,
续,7EED,32493,/,31768,uni7EED-CN,uni7EED-CN,/,All,
绰,7EF0,32496,/,31771,uni7EF0-CN,uni7EF0-CN,/,All,
绳,7EF3,32499,/,31774,uni7EF3-CN,uni7EF3-CN,/,All,
维,7EF4,32500,/,31775,uni7EF4-CN,uni7EF4-CN,/,All,
绵,7EF5,32501,/,31776,uni7EF5-CN,uni7EF5-CN,/,All,
绷,7EF7,32503,/,31778,uni7EF7-CN,uni7EF7-CN,/,All,
绸,7EF8,32504,/,31779,uni7EF8-CN,uni7EF8-CN,/,All,
综,7EFC,32508,/,31783,uni7EFC-CN,uni7EFC-CN,/,All,
绽,7EFD,32509,/,31784,uni7EFD-CN,uni7EFD-CN,/,All,
绿,7EFF,32511,E01EA,31129,uni7EFF-CL-CN,uni7DA0-TW,PUA,CL,
绿,7EFF,32511,E01EB,31786,uni7EFF-CN,uni7EFF-CN,PUA,"M,CM",
缀,7F00,32512,/,31787,uni7F00-CN,uni7F00-CN,/,All,
缅,7F05,32517,/,31792,uni7F05-CN,uni7F05-CN,/,All,
缆,7F06,32518,/,31793,uni7F06-CN,uni7F06-CN,/,All,
缉,7F09,32521,/,31796,uni7F09-CN,uni7F09-CN,/,All,
缎,7F0E,32526,/,31801,uni7F0E-CN,uni7F0E-CN,/,All,
缓,7F13,32531,/,31806,uni7F13-CN,uni7F13-CN,/,All,
缔,7F14,32532,/,31807,uni7F14-CN,uni7F14-CN,/,All,
缕,7F15,32533,/,31808,uni7F15-CN,uni7F15-CN,/,All,
编,7F16,32534,E01EA,31285,uni7F16-CL-CN,uni7DE8-CN,PUA,All,
编,7F16,32534,E01EB,31809,uni7F17-CN,uni7F16-CN,PUA,IVS,
缘,7F18,32536,E01EA,31326,uni7F17-CL-CN,uni7DFA-CN,PUA,All,
缘,7F18,32536,E01EB,31811,uni7F18-CN,uni7F18-CN,PUA,IVS,
缚,7F1A,32538,/,31813,uni7F1A-CN,uni7F1A-CN,/,All,
缝,7F1D,32541,/,31816,uni7F1D-CN,uni7F1D-CN,/,All,
缠,7F20,32544,/,31819,uni7F20-CN,uni7F20-CN,/,All,
缤,7F24,32548,/,31823,uni7F24-CN,uni7F24-CN,/,All,
缩,7F29,32553,/,31828,uni7F29-CN,uni7F29-CN,/,All,
缭,7F2D,32557,/,31832,uni7F2D-CN,uni7F2D-CN,/,All,
缰,7F30,32560,/,31835,uni7F30-CN,uni7F30-CN,/,All,
缴,7F34,32564,/,31839,uni7F34-CN,uni7F34-CN,/,All,
罈,7F48,32584,E0100,31883,uni7F48-V-CL,uni7F48-CN,Hanyo-Denshi,IVS,
罈,7F48,32584,E0101,31884,uni7F48-CL,uni7F48-TW,Hanyo-Denshi,All,
罐,7F50,32592,E0103,31901,uni7F50uE0103-JP,uni7F50-CN,Hanyo-Denshi,IVS,
罗,7F57,32599,/,31916,uni7F57-CN,uni7F57-CN,/,All,
罚,7F5A,32602,/,31919,uni7F5A-CN,uni7F5A-CN,/,All,
罢,7F62,32610,/,31931,uni7F62-CN,uni7F62-CN,/,All,
羞,7F9E,32670,E0102,32037,uni7F9EuE0102-JP,uni7F9E-CN,Hanyo-Denshi,IVS,
羡,7FA1,32673,E0104,32041,uni7FA1uE0104-JP,uni7FA1-CN,Hanyo-Denshi,IVS,
羯,7FAF,32687,E0103,32067,uni7FAFuE0103-JP,uni7FAF-TW,Hanyo-Denshi,IVS,
羿,7FBF,32703,E01EA,32103,uni7FBF-M,uni7FBF-CN,PUA,"M,CM",
翊,7FCA,32714,E0102,32131,uni7FCA-M,uni7FCA-CN,Hanyo-Denshi,M,
翎,7FCE,32718,E01EA,32142,uni7FCE-M,uni7FCE-CN,PUA,"M,CM",
翏,7FCF,32719,E0102,32145,uni7FCFuE0102-JP,uni7FCF-CN,Hanyo-Denshi,IVS,
翏,7FCF,32719,E01EA,32146,uni7FCF-M,uni7FCF-TW,PUA,M,
翕,7FD5,32725,E0102,32159,uni7FD5-M,uni7FD5-CN,Hanyo-Denshi,"M,CM",
翟,7FDF,32735,E0102,32178,uni7FDFuE0102-JP,uni7FDF-CN,Hanyo-Denshi,IVS,
翟,7FDF,32735,E0103,32179,uni7FDF-M,uni7FDF-TW,Hanyo-Denshi,"M,CM",
翠,7FE0,32736,E0101,62649,uni7FE0uE0101-JP,uni7FE0uE0101-JP,Adobe-Japan1,CL,AJ1 Glyph Replacement
翠,7FE0,32736,E0103,32181,uni7FE0uE0103-JP,uni7FE0-CN,Hanyo-Denshi,IVS,
翡,7FE1,32737,E0104,32184,uni7FE1-CM,uni7FE1-CN,Hanyo-Denshi,CM,
翥,7FE5,32741,E0102,32194,uni7FE5uE0102-JP,uni7FE5-CN,Hanyo-Denshi,M,
翦,7FE6,32742,E0102,32198,uni7FE6uE0102-JP,uni7FE6-CN,Hanyo-Denshi,M,
翩,7FE9,32745,E01EA,32208,uni7FE9-M,uni7FE9-TW,PUA,M,
翬,7FEC,32748,E0101,32217,uni7FECuE0101-MO,uni7FEC-CN,MSARG,M,
翮,7FEE,32750,E01EA,32222,uni7FEE-M,uni7FEE-CN,PUA,M,
翱,7FF1,32753,E0101,32230,uni7FF1-CL,uni7FF1-TW,MSARG,CL,
翳,7FF3,32755,E0102,32236,uni7FF3-M,uni7FF3-CN,Hanyo-Denshi,"M,CM",
翹,7FF9,32761,E01EA,32250,uni7FF9-CM,uni7FF9-TW,PUA,CM,
翺,7FFA,32762,E0101,32252,uni7FFA-M,uni7FFA-CN,MSARG,M,
翼,7FFC,32764,E0104,32258,uni7FFCuE0104-JP,uni7FFC-CN,Hanyo-Denshi,IVS,
耀,8000,32768,E01EA,32269,uni8000-M,uni8000-CN,PUA,"M,CM",
耖,8016,32790,E0102,32307,uni8016uE0102-JP,uni8016-CN,Hanyo-Denshi,IVS,
耘,8018,32792,E0102,32312,uni8018-CM,uni8018-CN,Hanyo-Denshi,CM,
耨,8028,32808,E0102,32343,uni8028uE0102-JP,uni8028-CN,Hanyo-Denshi,IVS,
耨,8028,32808,E0103,32344,uni8028uE0103-JP,uni8028-TW,Hanyo-Denshi,IVS,
职,804C,32844,/,32417,uni804C-CN,uni804C-CN,/,All,
联,8054,32852,/,32429,uni8054-CM,uni8054-CN,/,All,
聖,8056,32854,E0104,32434,uni8056uE0104-JP,uni8056-CN,Moji-Joho,IVS,
聠,8060,32864,E0102,32456,uni8060uE0102-JP,uni8061-CN,Hanyo-Denshi,"CL,CM",
聪,806A,32874,/,32474,uni806A-CN,uni806A-CN,/,All,
聲,8072,32882,E0102,32493,uni8072uE0102-JP,uni8072-CN,Moji-Joho,IVS,
聳,8073,32883,E0103,32496,uni8073uE0103-JP,uni8073-TW,Moji-Joho,IVS,
職,8077,32887,E0103,32504,uni8077uE0103-JP,uni8077-CN,Hanyo-Denshi,IVS,
聹,8079,32889,E0102,32509,uni8079uE0102-JP,uni8079-CN,Hanyo-Denshi,IVS,
聽,807D,32893,E0102,32516,uni807DuE0102-JP,uni807D-CN,Hanyo-Denshi,IVS,
聾,807E,32894,E0103,32519,uni807EuE0103-JP,uni807E-CN,Hanyo-Denshi,IVS,
聾,807E,32894,E0104,32520,uni807EuE0104-JP,uni807E-TW,Hanyo-Denshi,IVS,
聾,807E,32894,E01EA,32521,uni807E-V-CL,uni807E-HK,PUA,IVS,
肁,8081,32897,E0102,32525,uni8081uE0102-JP,uni8081-CN,Hanyo-Denshi,IVS,
肅,8085,32901,E0102,32532,uni8085uE0102-JP,uni8085-HK,Hanyo-Denshi,IVS,
肇,8087,32903,E0104,32536,uni8087uE0104-JP,uni8087-CN,Hanyo-Denshi,IVS,
肈,8088,32904,E0102,32539,uni8088uE0102-JP,uni8088-CN,Hanyo-Denshi,IVS,
肮,80AE,32942,/,32611,uni80AE-CN,uni80AE-CN,/,All,
