標準,Unicode,Unicode(Dec),IVS,目標CID,字圖名称,被修改或替換的字圖名称,IVD集,默認字圖,註釋
厲,53B2,21426,E0102,11819,uni53B2uE0102-JP,uni53B2-TW,Hanyo-Denshi,IVS,
及,53CA,21450,E0104,11862,uni53CAuE0102-JP,uni53CA-CN,Hanyo-Denshi,IVS,
发,53D1,21457,/,11872,uni53D1-CN,uni53D1-CN,/,All,
变,53D8,21464,E0100,11881,uni53D8-MO,uni53D8-CN,MSARG,IVS,
变,53D8,21464,E0101,11883,uni53D8uE0101-MO,uni53D9-CN,MSARG,All,
叟,53DF,21471,E0104,11894,uni53DF-CM,uni53DF-TW,Hanyo-Denshi,CM,
叫,53EB,21483,E0102,11912,uni53EBuE0102-JP,uni53EB-CN,Hanyo-Denshi,IVS,
号,53F7,21495,E0102,11929,uni53F7uE0102-JP,uni53F7-CN,Hanyo-Denshi,IVS,*俗字字形
叻,53FB,21499,/,11934,uni53FB-CL,uni53FB-CN,/,All,
叼,53FC,21500,/,11935,uni53FC-CL,uni53FC-CN,/,All,
吆,5406,21510,E0100,11946,uni5406-CL,uni5406-CN,Hanyo-Denshi,All,
吔,5414,21524,/,11965,uni5414-CL,uni5414-HK,/,All,
吗,5417,21527,/,11968,uni5417-CN,uni5417-CN,/,All,
君,541B,21531,E0102,11974,uni541CuE0102-JP,uni541C-CN,Hanyo-Denshi,IVS,
吟,541F,21535,E0102,11979,uni541FuE0102-JP,uni541F-CN,Hanyo-Denshi,IVS,
含,542B,21547,E0102,12001,uni542BuE0102-JP,uni542B-CN,Hanyo-Denshi,IVS,
吳,5433,21555,E01EA,12016,uni5433-CL,uni5433-CN,PUA,All,
呕,5455,21589,E0102,12066,uni5455uE0102-JP,uni5455-CN,Hanyo-Denshi,IVS,
呛,545B,21595,/,12072,uni545B-CN,uni545B-CN,/,All,
呣,5463,21603,/,12083,uni5463-CL,uni5463-CN,/,All,
呱,5471,21617,E0102,12107,uni5471uE0102-JP,uni5471-CN,Hanyo-Denshi,IVS,
咅,5485,21637,E0102,12134,uni5485uE0102-JP,uni5484-CN,Hanyo-Denshi,IVS,
咆,5486,21638,E0102,12136,uni5486uE0102-JP,uni5485-CN,Hanyo-Denshi,IVS,
咒,5492,21650,E0102,12155,uni5492uE0102-JP,uni5493-HK,Hanyo-Denshi,IVS,
咓,5493,21651,/,12154,uni5493-JP,uni5493-CN,/,All,
咔,5494,21652,/,12156,uni5494-JP,uni5494-CN,/,All,
咚,549A,21658,E01EA,12165,uni549A-CL,uni549C-CN,PUA,"CL,CM",
咢,54A2,21666,E0102,61815,u2F840-CL,u2F840-HK,Hanyo-Denshi,IVS,
咳,54B3,21683,E01EA,12204,uni54B3-V-CL,uni54B3-CN,PUA,IVS,
哉,54C9,21705,E0102,12234,uni54C9uE0102-JP,uni54C8-CN,Hanyo-Denshi,IVS,
哋,54CB,21707,/,12237,uni54CB-CL,uni54CB-HK,/,All,
哏,54CF,21711,/,12242,uni54CF-CL,uni54CF-CN,/,All,
哐,54D0,21712,/,12243,uni54D0-CL,uni54D0-CN,/,All,
哞,54DE,21726,/,12257,uni54DE-CL,uni54DE-CN,/,All,
哟,54DF,21727,/,12258,uni54DF-CN,uni54DF-CN,/,All,
唆,5506,21766,E0102,12318,uni5506uE0102-JP,uni5506-CN,Hanyo-Denshi,IVS,
唇,5507,21767,E01EA,12322,uni5507-KX,uni5507-CN,PUA,IVS,
唧,5527,21799,E0102,12366,uni5527uE0102-JP,uni5527-CN,Hanyo-Denshi,IVS,
唬,552C,21804,E0100,12374,uni552C-CL,uni552C-TW,Hanyo-Denshi,All,
唷,5537,21815,/,12393,uni5537-CL,uni5537-CN,/,All,
啄,5544,21828,E0103,12421,uni5544uE0103-JP,uni5544-CN,Hanyo-Denshi,IVS,
啇,5547,21831,E0102,12428,uni5547uE0102-JP,uni5547-CN,Hanyo-Denshi,IVS,
啕,5555,21845,/,12446,uni5555-CL,uni5555-CN,/,All,
啗,5557,21847,E0101,12450,uni5557uE0101-MO,uni5557-CN,MSARG,IVS,
