文字,文字,Unicode,Unicode(Dec),原始CID,字圖名称,目標CID,字圖名称,No.
篇,篇,7BC7,31687,30110,uni7BC7-JP,61988,uni7BC7-JP90-JP,
簧,簧,7C27,31783,30323,uni7C27-JP,30324,uni7C27-CN,
簾,簾,7C3E,31806,30373,uni7C3E-JP,61990,uni7C3E-JP90-JP,
精,精,7CBE,31934,58889,uniFA1D-JP,30655,uni7CBE-CN,
糙,糙,7CD9,31961,30717,uni7CD9-JP,30718,uni7CD9-KR,
約,約,7D04,32004,62603,uni7D04uE0101-JP,30812,uni7D04-JP,
納,納,7D0D,32013,62606,uni7D0DuE0101-JP,30831,uni7D0D-JP,
綢,綢,7DA2,32162,31131,uni7DA2-JP,31132,uni7DA2-KR,
網,網,7DB2,32178,62617,uni7DB2uE0101-JP,31167,uni7DB2-JP,
編,編,7DE8,32232,62622,uni7DE8uE0101-JP,31284,uni7DE8-JP,
緩,緩,7DE9,32233,62623,uni7DE9uE0101-JP,31287,uni7DE9-JP,
續,續,7E8C,32396,31642,uni7E8C-JP,62633,uni7E8CuE0101-JP,
罔,罔,7F54,32596,31908,uni7F54-JP,31909,uni7F54-KR,
罪,罪,7F6A,32618,31942,uni7F6A-JP,62636,uni7F6AuE0101-JP,
署,署,7F72,32626,58954,uniFA5A-JP,31955,uni7F72-CN,
羸,羸,7FB8,32696,32084,uni7FB8-JP,32085,uni7FB8-KR,
羽,羽,7FBD,32701,58890,uniFA1E-JP,32098,uni7FBD-CN,
羿,羿,7FBF,32703,32102,uni7FBF-JP,32103,uni7FBF-CN,
翁,翁,7FC1,32705,62643,uni7FC1uE0102-JP,62642,uni7FC1uE0101-JP,
翅,翅,7FC5,32709,32119,uni7FC5-JP,62644,uni7FC5uE0101-JP,
翌,翌,7FCC,32716,32136,uni7FCC-KR,32135,uni7FCC-JP,
習,習,7FD2,32722,32152,uni7FD2-KR,32151,uni7FD2-JP,
翔,翔,7FD4,32724,62648,uni7FD4uE0101-JP,32155,uni7FD4-JP,
翠,翠,7FE0,32736,62649,uni7FE0uE0101-JP,32180,uni7FE0-JP,
翩,翩,7FE9,32745,62652,uni7FE9uE0101-JP,62653,uni7FE9uE0102-JP,
翰,翰,7FF0,32752,32226,uni7FF0-JP,61994,uni7FF0-JP90-JP,
翻,翻,7FFB,32763,62654,uni7FFBuE0101-JP,32254,uni7FFB-CN,
翼,翼,7FFC,32764,32257,uni7FFC-KR,32256,uni7FFC-JP,
者,者,8005,32773,58955,uniFA5B-JP,32278,uni8005-CN,
耒,耒,8012,32786,32298,uni8012-JP,62659,uni8012uE0101-JP,
耕,耕,8015,32789,62660,uni8015uE0101-JP,32304,uni8015-CN,
耗,耗,8017,32791,62661,uni8017uE0101-JP,32309,uni8017-CN,
耙,耙,8019,32793,32314,uni8019-JP,32315,uni8019-CN,
耜,耜,801C,32796,32319,uni801C-JP,32320,uni801C-CN,
聖,聖,8056,32854,32435,uni8056-TW,32433,uni8056-JP,
肇,肇,8087,32903,62675,uni8087uE0101-JP,32535,uni8087-JP,
肓,肓,8093,32915,32555,uni8093-JP,32556,uni8093-KR,
肖,肖,8096,32918,62677,uni8096uE0101-JP,32562,uni8096-JP,
肩,肩,80A9,32937,62679,uni80A9uE0101-JP,32597,uni80A9-JP,
胖,胖,80D6,32982,32688,uni80D6-JP,62681,uni80D6uE0101-JP,
舀,舀,8200,33280,33333,uni8200-JP,33334,uni8200-CN,
芍,芍,828D,33421,62704,uni828DuE0101-JP,33651,uni828D-CN,
芒,芒,8292,33426,33662,uni8292-JP,61998,uni8292-JP90-JP,
芦,芦,82A6,33446,33707,uni82A6-JP,61999,uni82A6-JP90-JP,
苒,苒,82D2,33490,62708,uni82D2uE0101-JP,33801,uni82D2-CN,
苣,苣,82E3,33507,62709,uni82E3uE0101-JP,33837,uni82E3-JP,
茫,茫,832B,33579,33988,uni832B-JP,33989,uni832B-KR,
荒,荒,8352,33618,62711,uni8352uE0101-JP,34077,uni8352-JP,
莒,莒,8392,33682,34192,uni8392-JP,34193,uni8392-CN,
菁,菁,83C1,33729,34283,uni83C1-JP,34284,uni83C1-CN,
菜,菜,83DC,33756,62717,uni83DCuE0101-JP,34342,uni83DC-CN,
菲,菲,83F2,33778,34395,uni83F2-JP,62720,uni83F2uE0101-JP,
萍,萍,840D,33805,34457,uni840D-JP,34458,uni840D-CN,
著,著,8457,33879,58959,uniFA5F-JP,34615,uni8457-CN,
蔽,蔽,853D,34109,35166,uni853D-JP,62004,uni853D-JP90-JP,
薩,薩,85A9,34217,35433,uni85A9-JP,62005,uni85A9-JP90-JP,
薯,薯,85AF,34223,35445,uni85AF-JP,62006,uni85AF-JP90-JP,
藉,藉,85C9,34249,35504,uni85C9-JP,35505,uni85C9-CN,
藕,藕,85D5,34261,35530,uni85D5-JP,35531,uni85D5-CN,
虜,虜,865C,34396,58860,uniF936-JP,35860,uni865C-JP,
蜚,蜚,871A,34586,36158,uni871A-JP,62747,uni871AuE0101-JP,
蜻,蜻,873B,34619,36209,uni873B-JP,62749,uni873BuE0101-JP,
蝕,蝕,8755,34645,36252,uni8755-JP,62011,uni8755-JP90-JP,
蝙,蝙,8759,34649,62750,uni8759uE0101-JP,36260,uni8759-JP,
衅,衅,8845,34885,36698,uni8845-JP,36699,uni8845-CN,
術,術,8853,34899,62764,uni8853uE0101-JP,36719,uni8853-JP,
衮,衮,886E,34926,36763,uni886E-KR,36762,uni886E-JP,
裴,裴,88F4,35060,37017,uni88F4-JP,62770,uni88F4uE0101-JP,
襁,襁,8941,35137,37188,uni8941-JP,62775,uni8941uE0101-JP,
襖,襖,8956,35158,37226,uni8956-JP,62013,uni8956-JP90-JP,
覓,覓,8993,35219,37357,uni8993-JP,37358,uni8993-CN,
視,視,8996,35222,58961,uniFA61-JP,37361,uni8996-JP,
評,評,8A55,35413,62788,uni8A55uE0101-JP,37712,uni8A55-JP,
詮,詮,8A6E,35438,37761,uni8A6E-JP,62017,uni8A6E-JP90-JP,
誠,誠,8AA0,35488,62792,uni8AA0uE0101-JP,37864,uni8AA0-JP,
誥,誥,8AA5,35493,37875,uni8AA5-JP,37876,uni8AA5-KR,
誹,誹,8AB9,35513,62018,uni8AB9-JP90-JP,37915,uni8AB9-JP,
調,調,8ABF,35519,62794,uni8ABFuE0101-JP,37927,uni8ABF-JP,
請,請,8ACB,35531,62795,uni8ACBuE0101-JP,37953,uni8ACB-JP,
諸,諸,8AF8,35576,58896,uniFA22-JP,38053,uni8AF8-JP,
諺,諺,8AFA,35578,38056,uni8AFA-JP,62019,uni8AFA-JP90-JP,
謙,謙,8B19,35609,62801,uni8B19uE0101-JP,38134,uni8B19-JP,
講,講,8B1B,35611,62802,uni8B1BuE0101-JP,38138,uni8B1B-JP,
謬,謬,8B2C,35628,38175,uni8B2C-JP,62021,uni8B2C-JP90-JP,
謾,謾,8B3E,35646,62804,uni8B3EuE0101-JP,38211,uni8B3E-JP,
讀,讀,8B80,35712,38356,uni8B80-JP,38357,uni8B80-KR,
豹,豹,8C79,35961,38700,uni8C79-JP,62023,uni8C79-JP90-JP,
賭,賭,8CED,36077,38897,uni8CED-JP,62024,uni8CED-JP90-JP,
賺,賺,8CFA,36090,38915,uni8CFA-JP,38916,uni8CFA-CN,
購,購,8CFC,36092,62821,uni8CFCuE0101-JP,38919,uni8CFC-JP,
贈,贈,8D08,36104,58965,uniFA65-JP,38941,uni8D08-CN,
贏,贏,8D0F,36111,38955,uni8D0F-JP,62824,uni8D0FuE0101-JP,
贖,贖,8D16,36118,38967,uni8D16-JP,38968,uni8D16-CN,
起,起,8D77,36215,62827,uni8D77uE0101-JP,39087,uni8D77-JP,
趙,趙,8D99,36249,39136,uni8D99-JP,62828,uni8D99uE0101-JP,
趟,趟,8D9F,36255,39145,uni8D9F-JP,39146,uni8D9F-CN,
距,距,8DDD,36317,62830,uni8DDDuE0101-JP,39235,uni8DDD-JP,
蹋,蹋,8E4B,36427,39410,uni8E4B-JP,39411,uni8E4B-CN,
蹭,蹭,8E6D,36461,39476,uni8E6D-JP,39477,uni8E6D-CN,
蹲,蹲,8E72,36466,39486,uni8E72-JP,39487,uni8E72-CN,
躇,躇,8E87,36487,39525,uni8E87-JP,39526,uni8E87-CN,
輩,輩,8F29,36649,39798,uni8F29-JP,62840,uni8F29uE0101-JP,
造,造,9020,36896,62875,uni9020uE0101-JP,40305,uni9020-KR,
週,週,9031,36913,62878,uni9031uE0101-JP,40347,uni9031-KR,
遁,遁,9041,36929,62882,uni9041uE0101-JP,40389,uni9041-JP,
邦,邦,90A6,37030,62936,uni90A6uE0102-JP,40645,uni90A6-JP,
都,都,90FD,37117,58901,uniFA26-JP,40777,uni90FD-CN,
鄭,鄭,912D,37165,40864,uni912D-JP,62037,uni912D-JP90-JP,
酋,酋,914B,37195,40928,uni914B-JP,62038,uni914B-JP90-JP,
酷,酷,9177,37239,62949,uni9177uE0101-JP,41022,uni9177-CN,
采,采,91C7,37319,62957,uni91C7uE0101-JP,41214,uni91C7-CN,
釣,釣,91E3,37347,62958,uni91E3uE0101-JP,41257,uni91E3-JP,
鍥,鍥,9365,37733,62965,uni9365uE0101-JP,42001,uni9365-JP,
鎌,鎌,938C,37772,62967,uni938CuE0101-JP,42082,uni938C-JP,
鎖,鎖,9396,37782,62968,uni9396uE0101-JP,42103,uni9396-JP,
鏝,鏝,93DD,37853,62971,uni93DDuE0101-JP,42250,uni93DD-JP,
隊,隊,968A,38538,62981,uni968AuE0101-JP,43234,uni968A-JP,
隘,隘,9698,38552,43259,uni9698-JP,62984,uni9698uE0102-JP,
雇,雇,96C7,38599,62992,uni96C7uE0101-JP,43354,uni96C7-JP,
雕,雕,96D5,38613,43379,uni96D5-JP,43380,uni96D5-KR,
霄,霄,9704,38660,43477,uni9704-JP,43478,uni9704-CN,
靖,靖,9756,38742,58888,uniFA1C-JP,43656,uni9756-JP,
