文字,文字,Unicode,Unicode(Dec),原始CID,字圖名称,目標CID,字圖名称,No.,
筑,筑,7B51,31569,29877,uni7B51-CN,62585,uni7B51uE0101-JP,225,
箙,箙,7B99,31641,30021,uni7B99-JP,62586,uni7B99uE0101-JP,226,
箭,箭,7BAD,31661,61986,uni7BAD-JP90-JP,30058,uni7BAD-JP,227,
節,節,7BC0,31680,62587,uni7BC0uE0102-JP,58950,uniFA56-JP,228,
篠,篠,7BE0,31712,62589,uni7BE0uE0101-JP,30164,uni7BE0-JP,229,
簉,簉,7C09,31753,30259,uni7C09-KR,30258,uni7C09-JP,230,
籍,籍,7C4D,31821,30408,uni7C4D-CN,62593,uni7C4DuE0101-JP,231,
籘,籘,7C58,31832,30434,uni7C58-JP,62596,uni7C58uE0101-JP,232,
粐,粐,7C90,31888,30562,uni7C90-JP,62600,uni7C90uE0101-JP,233,
約,約,7D04,32004,30812,uni7D04-JP,62603,uni7D04uE0101-JP,234,
絜,絜,7D5C,32092,30990,uni7D5C-JP,62611,uni7D5CuE0101-JP,235,
綛,綛,7D9B,32155,31114,uni7D9B-JP,62614,uni7D9BuE0101-JP,236,
綟,綟,7D9F,32159,31124,uni7D9F-JP,62615,uni7D9FuE0101-JP,237,
綢,綢,7DA2,32162,31132,uni7DA2-KR,31131,uni7DA2-JP,238,
網,網,7DB2,32178,31167,uni7DB2-JP,62617,uni7DB2uE0101-JP,239,
緝,緝,7DDD,32221,31262,uni7DDD-JP,62621,uni7DDDuE0101-JP,240,
縵,縵,7E35,32309,31446,uni7E35-JP,62630,uni7E35uE0102-JP,241,
繃,繃,7E43,32323,31479,uni7E43-JP,62631,uni7E43uE0101-JP,242,
續,續,7E8C,32396,62633,uni7E8CuE0101-JP,31642,uni7E8C-JP,243,
翦,翦,7FE6,32742,32197,uni7FE6-KR,32196,uni7FE6-JP,244,
考,考,8003,32771,32274,uni8003-JP,62658,uni8003uE0101-JP,245,
舮,舮,822E,33326,33436,uni822E-JP,62699,uni822EuE0101-JP,246,
船,船,8239,33337,62701,uni8239uE0102-JP,62700,uni8239uE0101-JP,247,
艘,艘,8258,33368,61997,uni8258-JP90-JP,33538,uni8258-JP,248,
芍,芍,828D,33421,33651,uni828D-CN,62704,uni828DuE0101-JP,249,
芽,芽,82BD,33469,33766,uni82BD-JP,61847,u2F995-JP,250,
荒,荒,8352,33618,34077,uni8352-JP,62711,uni8352uE0101-JP,251,
荵,荵,8375,33653,34127,uni8375-JP,62712,uni8375uE0101-JP,252,
菔,菔,83D4,33748,62716,uni83D4uE0101-JP,34324,uni83D4-JP,253,
菟,菟,83DF,33759,34350,uni83DF-CN,62718,uni83DFuE0101-JP,254,
萌,萌,840C,33804,34455,uni840C-CN,62721,uni840CuE0101-JP,255,
葜,葜,845C,33884,34628,uni845C-JP,62725,uni845CuE0101-JP,256,
蒯,蒯,84AF,33967,34819,uni84AF-CN,34818,uni84AF-JP,257,
蕑,蕑,8551,34129,35211,uni8551-JP,62732,uni8551uE0101-JP,258,
蕝,蕝,855D,34141,35241,uni855D-JP,62734,uni855DuE0101-JP,259,
薇,薇,8587,34183,35342,uni8587-JP,62737,uni8587uE0101-JP,260,
蜩,蜩,8729,34601,36181,uni8729-CN,36180,uni8729-JP,261,
蠃,蠃,8803,34819,36568,uni8803-JP,62756,uni8803uE0101-JP,262,
衂,衂,8842,34882,36693,uni8842-JP,62761,uni8842uE0101-JP,263,
衆,衆,8846,34886,62762,uni8846uE0101-JP,36700,uni8846-JP,264,
裯,裯,88EF,35055,37004,uni88EF-KR,37003,uni88EF-JP,265,
覿,覿,89BF,35263,37427,uni89BF-CN,37426,uni89BF-JP,266,
訊,訊,8A0A,35338,37562,uni8A0A-JP,62784,uni8A0AuE0102-JP,267,
誠,誠,8AA0,35488,37864,uni8AA0-JP,62792,uni8AA0uE0101-JP,268,
誥,誥,8AA5,35493,37876,uni8AA5-KR,37875,uni8AA5-JP,269,
調,調,8ABF,35519,37927,uni8ABF-JP,62794,uni8ABFuE0101-JP,270,
訝,訝,8A1D,35357,37601,uni8A1D-KR,37600,uni8A1D-JP,271,
謾,謾,8B3E,35646,38211,uni8B3E-JP,62804,uni8B3EuE0101-JP,272,
賊,賊,8CCA,36042,62819,uni8CCAuE0101-JP,62820,uni8CCAuE0102-JP,273,
賙,賙,8CD9,36057,38865,uni8CD9-CN,38864,uni8CD9-JP,274,
贖,贖,8D16,36118,38968,uni8D16-CN,38967,uni8D16-JP,275,
趴,趴,8DB4,36276,39178,uni8DB4-CN,39179,uni8DB4-TW,276,
轄,轄,8F44,36676,39853,uni8F44-KR,62842,uni8F44uE0101-JP,277,
迅,迅,8FC5,36805,62846,uni8FC5uE0102-JP,62845,uni8FC5uE0101-JP,278,
迯,迯,8FEF,36847,32739,uni80EF-JP,62856,uni8FEFuE0101-JP,279,
造,造,9020,36896,40305,uni9020-KR,62875,uni9020uE0101-JP,280,
週,週,9031,36913,40347,uni9031-KR,62878,uni9031uE0101-JP,281,
遁,遁,9041,36929,40389,uni9041-JP,62882,uni9041uE0101-JP,282,
適,適,9069,36969,40502,uni9069-KR,62898,uni9069uE0101-JP,283,
邪,邪,90AA,37034,40651,uni90AA-JP,62939,uni90AAuE0102-JP,284,
郜,郜,90DC,37084,40726,uni90DC-CN,40725,uni90DC-JP,285,
鄕,鄕,9115,37141,40819,uni9115-KR,40818,uni9115-JP,286,
酌,酌,914C,37196,40931,uni914C-CN,62942,uni914CuE0101-JP,287,
酷,酷,9177,37239,41022,uni9177-CN,62949,uni9177uE0101-JP,288,
釣,釣,91E3,37347,41257,uni91E3-JP,62958,uni91E3uE0101-JP,289,
鉛,鉛,925B,37467,62962,uni925BuE0102-JP,62961,uni925BuE0101-JP,290,
鋩,鋩,92E9,37609,41760,uni92E9-JP,62963,uni92E9uE0101-JP,291,
錵,錵,9335,37685,41911,uni9335-JP,62964,uni9335uE0101-JP,292,
鍥,鍥,9365,37733,42001,uni9365-JP,62965,uni9365uE0101-JP,293,
鏝,鏝,93DD,37853,42250,uni93DD-JP,62971,uni93DDuE0101-JP,294,
閒,閒,9592,38290,42866,uni9592-JP,62973,uni9592uE0101-JP,295,
雅,雅,96C5,38597,43348,uni96C5-JP,62991,uni96C5uE0102-JP,296,
雕,雕,96D5,38613,43380,uni96D5-KR,43379,uni96D5-JP,297,
靠,靠,9760,38752,43682,uni9760-KR,43681,uni9760-JP,298,
音,音,97F3,38899,43935,uni97F3-JP,63012,uni97F3uE0101-JP,299,
響,響,97FF,38911,63013,uni97FFuE0102-JP,63014,uni97FFuE0103-JP,300,
饅,饅,9945,39237,44565,uni9945-JP,63037,uni9945uE0102-JP,301,
驟,驟,9A5F,39519,63044,uni9A5FuE0101-JP,45045,uni9A5F-JP,302,
骫,骫,9AAB,39595,45140,uni9AAB-TW,45141,uni9AAB-HK,303,
