標準,IVD,Unicode,Unicode(Dec),IVS,目標CID,字圖名称,IVD集,註釋,No.
倦,倦,5026,20518,E0103,10309,uni5026-JP,Hanyo-Denshi,,
倩,倩,5029,20521,E0101,10315,uni5029-JP,Hanyo-Denshi,,
倩,倩,5029,20521,E0104,10315,uni5029-JP,MSARG,,
倫,倫,502B,20523,E0101,10320,uni502B-JP,Hanyo-Denshi,,
倰,倰,5030,20528,E0101,10329,uni5030-JP,Hanyo-Denshi,,
倶,倶,5036,20534,E0101,10339,uni5036-JP,Hanyo-Denshi,,
偀,偀,5040,20544,E0101,10353,uni5040-JP,Hanyo-Denshi,,
偂,偂,5042,20546,E0101,10357,uni5042-JP,Hanyo-Denshi,,
偃,偃,5043,20547,E0101,10359,uni5043-JP,Moji-Joho,,
偈,偈,5048,20552,E0101,10367,uni5048-JP,Hanyo-Denshi,,
偉,偉,5049,20553,E0102,10371,uni5049-JP,Hanyo-Denshi,,
偉,偉,5049,20553,E0105,62085,uni5049uE0101-JP,Moji-Joho,,
偌,偌,504C,20556,E0101,10377,uni504C-CN,Hanyo-Denshi,,
偏,偏,504F,20559,E0102,10382,uni504F-JP,Hanyo-Denshi,,
偏,偏,504F,20559,E0103,62086,uni504FuE0101-JP,Hanyo-Denshi,,
偐,偐,5050,20560,E0101,10385,uni5050-JP,Hanyo-Denshi,,
偕,偕,5055,20565,E0101,10393,uni5055-JP,Hanyo-Denshi,,
偖,偖,5056,20566,E0102,10396,uni5056-JP,Hanyo-Denshi,,
偖,偖,5056,20566,E0103,62087,uni5056uE0101-JP,Hanyo-Denshi,,
停,停,505C,20572,E0101,10405,uni505C-JP,Hanyo-Denshi,,
偠,偠,5060,20576,E0101,10412,uni5060-JP,Hanyo-Denshi,,
健,健,5065,20581,E0102,10424,uni5065-JP,Hanyo-Denshi,,
健,健,5065,20581,E0104,62088,uni5065uE0101-JP,Moji-Joho,,
偰,偰,5070,20592,E0101,10440,uni5070-JP,Hanyo-Denshi,,
傅,傅,5085,20613,E0102,10476,uni5085-CN,Hanyo-Denshi,,
傍,傍,508D,20621,E0101,10487,uni508D-JP,Hanyo-Denshi,,
傎,傎,508E,20622,E0101,10489,uni508E-JP,Hanyo-Denshi,,
傐,傐,5090,20624,E0101,10494,uni5090-JP,Hanyo-Denshi,,
傑,傑,5091,20625,E0103,10496,uni5091-JP,Hanyo-Denshi,,
傑,傑,5091,20625,E0104,62091,uni5091uE0102-JP,Hanyo-Denshi,,
傑,傑,5091,20625,E0105,62090,uni5091uE0101-JP,Moji-Joho,,
傓,傓,5093,20627,E0101,10503,uni5093-JP,Hanyo-Denshi,,
傔,傔,5094,20628,E0101,10505,uni5094-JP,Hanyo-Denshi,,
備,備,5099,20633,E0101,10515,uni5099-JP,Hanyo-Denshi,,
傢,傢,50A2,20642,E0101,10538,uni50A2-JP,Hanyo-Denshi,,
傪,傪,50AA,20650,E0101,10550,uni50AA-JP,Hanyo-Denshi,,
傯,傯,50AF,20655,E0101,10560,uni50AF-JP,Hanyo-Denshi,,
傰,傰,50B0,20656,E0101,10563,uni50B0-JP,Hanyo-Denshi,,
傳,傳,50B3,20659,E0101,10569,uni50B3-JP,Hanyo-Denshi,,
傴,傴,50B4,20660,E0101,10570,uni50B4-JP,Hanyo-Denshi,,
傹,傹,50B9,20665,E0101,10577,uni50B9-JP,Hanyo-Denshi,,
傻,傻,50BB,20667,E0101,10582,uni50BB-JP,Hanyo-Denshi,,
傽,傽,50BD,20669,E0101,10587,uni50BD-JP,Hanyo-Denshi,,
僃,僃,50C3,20675,E0101,10599,uni50C3-JP,Hanyo-Denshi,,
僅,僅,50C5,20677,E0102,61897,uni50C5-JP90-JP,Hanyo-Denshi,,
僅,僅,50C5,20677,E0103,10602,uni50C5-JP,Hanyo-Denshi,,
